AI Product Name.,Company,Imaging modality.,Subspeciality.,Clinical use.,FDA Classification.,Other product regulatory classification.,Other references.,Peer Review References.,Product CE Classification (MDD Class).,Product CE Classification (MDR Class).,Product output.,Regulated Intended purpose.,Suite name.,UK CA.,Which PACS systems is each product compatible with.,Which platforms is each product compatible with.,Which reporting worklist systems is each product compatible with.,ID
Annalise Enterprise CXR,Annalise.AI,XR,"Cardiac, Emergency, Thoracic",Identify suspected findings in digitised (CR) or digital (DX) chest X-ray studies taken in the anterior-posterior (AP) or posterior-anterior (PA) and optionally lateral (LAT) orientations of adult patients;  improve the detection of radiological findings visible on chest X-rays; identify 124 Chest X-Ray findings and assist with notification and triaging.,II,"FDA clearance is for a subset of findings for the indications for use to aid in triage and prioritisation.   

Class IIb in UK is via UK recognition of MDR classifiation",https://annalise.ai/clinical-evidence/,"Seah et al (2021) (https://www.thelancet.com/journals/landig/article/PIIS2589-7500(21)00106-0/fulltext)
Seah et al (2021) (https://bmjopen.bmj.com/content/11/12/e053024.info)
Jones et al (2021) (https://bmjopen.bmj.com/content/11/12/e052902.info)
Hillis et al (2022) (https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2799574#google_vignette) 
Tang et al (2023) (https://www.mdpi.com/2075-4418/13/14/2317) 
Plesner et al (2023) (https://pubs.rsna.org/doi/10.1148/radiol.231236)
Tang et al (2023) (https://pubs.rsna.org/doi/10.1148/ryai.220079) 
Brown et al (2023) (https://pmc.ncbi.nlm.nih.gov/articles/PMC10115193/)
Plesner (2024) (https://pmc.ncbi.nlm.nih.gov/articles/PMC10115193/)
Ahmad et al (2023) (https://www.mdpi.com/2075-4418/13/4/743)
Ghatak et al (2024 (https://www.jacr.org/article/S1546-1440(24)00766-X/abstract)
Milne et al (2024) (https://pubmed.ncbi.nlm.nih.gov/39535525/)
Van Leeuwen et al (2024)  (https://doi.org/10.1148/radiol.230981)",None,IIb,"Identification of suspected radiological findings, highlight the relevant areas of interest/segmentation overlay,identify laterality, confidence bar (provides a visual indication of the confidence of the AI model that a particular finding is present).","Annalise Enterprise is a medical device intended to assist clinicians with the interpretation of radiological imaging studies and provide notification of suspected findings.

For use with CXRs acquired from patients aged 16 years and over",Annalise,I,"Fujifilm Medical Systems - SYNAPSE; GE Healthcare - Centricity;  Philips (previously Carestream);  Sectra - Sectra PACS; 'Other' (Agfa Healthcare - Enterprise Imaging), 'Other' (Intelerad IntelePACS)",,EPIC Healthcare Systems - Radiant; GE Healthcare - Centricity RIS-I [eRad Cockpit] ;  Soliton - Radiology+; 'Other' (Agfa Healthcare - EI Reporting Worklist) ; 'Other' (Philips VuePACS Reporting Worklist) ; 'Other' (Sectra PACS - Sectra Reporting Worklist) ,77bb9274-ade8-43ae-907e-9cc3037b4c92
Annalise Enterprise CTB,Annalise.AI,CT,"Emergency, Head & Neck, Neuro",Identify suspected findings in non-contrast brain CT scans (brain kernel) of adult patients;  improve the detection of radiological findings visible on non-contrast CT brain scans; identify 130 CT brain findings  and assist with notification and triaging.,II,"FDA clearance is for a subset of findings for the indications for use to aid in triage and prioritisation.   

Class IIb in UK is via UK recognition of MDR classifiation",https://annalise.ai/clinical-evidence/,"Seah et al (2023) (https://linkNewbury-Chaet (2024) (https://www.ajnr.org/content/early/2024/05/28/ajnr.A8358)
Seah et al (2024) (https://link.springer.com/article/10.1007/s00330-023-10074-8)
Hillis et al (2024) (https://www.ahajournals.org/doi/10.1161/SVIN.123.001223)
",None,IIb,"Identification of suspected radiological findings, highlight the relevant areas of interest/segmentation overlay,identify laterality, confidence bar (provides a visual indication of the confidence of the AI model that a particular finding is present).","Annalise Enterprise is a medical device intended to assist clinicians with the interpretation of radiological imaging studies and provide notification of suspected findings.

For use with non-contrast CT Brain exams acquired from patients aged 18 years and over",Annalise,I,"Fujifilm Medical Systems - SYNAPSE; 'Other' (Agfa Healthcare - Enterprise Imaging), 'Other' (Intelerad IntelePACS);  Sectra - Sectra PACS; Philips (previously Carestream);",,EPIC Healthcare Systems - Radiant; GE Healthcare - Centricity RIS-I [eRad Cockpit] ;  Soliton - Radiology+; 'Other' (Agfa Healthcare - EI Reporting Worklist) ; 'Other' (Philips VuePACS Reporting Worklist) ; 'Other' (Sectra PACS - Sectra Reporting Worklist) ,ee7c1890-64b3-4d8f-a34a-cb6b18c12ece
Annalise Container CXR,Annalise.AI,XR,"Cardiac, Emergency, Thoracic",Identify suspected findings in digitised (CR) or digital (DX) chest X-ray studies taken in the anterior-posterior (AP) or posterior-anterior (PA) and optionally lateral (LAT) orientations of adult patients;  improve the detection of radiological findings visible on chest X-rays; identify 124 Chest X-Ray findings and assist with notification and triaging.,None,Class IIb in UK is via UK recognition of MDR classifiation,https://annalise.ai/clinical-evidence/,"Seah et al (2021) (https://www.thelancet.com/journals/landig/article/PIIS2589-7500(21)00106-0/fulltext)
Seah et al (2021) (https://bmjopen.bmj.com/content/11/12/e053024.info)
Jones et al (2021) (https://bmjopen.bmj.com/content/11/12/e052902.info)
Hillis et al (2022) (https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2799574#google_vignette) 
Tang et al (2023) (https://www.mdpi.com/2075-4418/13/14/2317) 
Plesner et al (2023) (https://pubs.rsna.org/doi/10.1148/radiol.231236)
Tang et al (2023) (https://pubs.rsna.org/doi/10.1148/ryai.220079) 
Brown et al (2023) (https://pmc.ncbi.nlm.nih.gov/articles/PMC10115193/)
Plesner (2024) (https://pmc.ncbi.nlm.nih.gov/articles/PMC10115193/)
Ahmad et al (2023) (https://www.mdpi.com/2075-4418/13/4/743)
Ghatak et al (2024 (https://www.jacr.org/article/S1546-1440(24)00766-X/abstract)
Milne et al (2024) (https://pubmed.ncbi.nlm.nih.gov/39535525/)
Van Leeuwen et al (2024)  (https://doi.org/10.1148/radiol.230981)",None,IIb,"Identification of suspected radiological findings, highlight the relevant areas of interest/segmentation overlay,identify laterality, confidence bar (provides a visual indication of the confidence of the AI model that a particular finding is present).","Annalise Container is a medical device intended to assist clinicians with the interpretation of radiological imaging studies and provide notification of suspected findings.

For use with CXRs acquired from patients aged 16 years and over

Annalise Container is built on the same AI model as Annalise Enterprise,  packaged as a self-contained executable that can be run within an AI platform.  ",Annalise,I,"Other' Sectra PACS - via Amplifier 
'Other' - Any PACS, Secondary Capture output",Blackford; Newton's Tree; Nuance; Sectra; ,"Other' (Sectra PACS via Amplifier - Sectra Reporting Worklist) , 'Other' (Newton's Tree AI platform)",c90ae6ab-44ce-44ee-b986-9f673023028a
Annalise Container CTB ,Annalise.AI,CT,"Emergency, Head & Neck, Neuro",Identify suspected findings in non-contrast brain CT scans (brain kernel) of adult patients;  improve the detection of radiological findings visible on non-contrast CT brain scans; identify 130 CT brain findings  and assist with notification and triaging.,None,Class IIb in UK is via UK recognition of MDR classifiation,https://annalise.ai/clinical-evidence/,"Seah et al (2023) (https://linkNewbury-Chaet (2024) (https://www.ajnr.org/content/early/2024/05/28/ajnr.A8358)
Seah et al (2024) (https://link.springer.com/article/10.1007/s00330-023-10074-8)
Hillis et al (2024) (https://www.ahajournals.org/doi/10.1161/SVIN.123.001223)
",None,IIb,"Identification of suspected radiological findings, highlight the relevant areas of interest/segmentation overlay,identify laterality, confidence bar (provides a visual indication of the confidence of the AI model that a particular finding is present).","Annalise Container is a medical device intended to assist clinicians with the interpretation of radiological imaging studies and provide notification of suspected findings.

For use with non-contrast CT Brain exams acquired from patients aged 18 years and over

Annalise Container is built on the same AI model as Annalise Enterprise,  packaged as a self-contained executable that can be run within an AI platform.  ",Annalise,I,"Other' - Any PACS, Secondary Capture output",Blackford; Newton's Tree; Nuance; Sectra; ,"Other' (Sectra PACS via Amplifier - Sectra Reporting Worklist) , 'Other' (Newton's Tree AI platform)",00cb5b78-1744-4d4f-8967-115bea1a08b2
Rayscape CXR,Rayscape,XR,"Chest, Thoracic, Emergency, ICU","Case triaging
Worklist prioritization
Decision support in Emergency Room 
Decision support in Intensive Care Unit 
Decision support in Radiology Department
Lung cancer screening
Tuberculosis (TB) screening",N/A,,,https://rayscape.sharepoint.com/:b:/s/Rayscape/EfdS4LsUB4BEoiW0Wycn464Bwq9ORTBx1e941-yuTKJhNA?e=ynYWZy,I,IIa (The transition to MDR is expected to be completed by Q4 2025),"148 findings grouped into 17 super classes
Bounding box localization for each super class
Probability score assigned per finding (High / Medium / Low)
Cardiothoracic ratio measurement (numerical value with auxiliary visualization and segmentation overlay)
COVID-19 score
Bone suppression and subtraction visualizations ",None,,None ,"The software is compatible with any PACS system that supports DICOM communication. Deeper, native integrations are available with OpenRad (Biotronics) and Philips platforms.","Blackford, Deepc, Carpl",We support SR and HL7 outputs for all platforms that are compatible with these standards. Deeper integrations are already established with OpenRad (Biotronics) and NeoQ.,aa63f5cd-9aae-461a-9706-9a1b4f078413
Rayscape Lung CT,Rayscape,CT ,"Oncology, Incidental Findings, Lung Cancer Screening","Lung cancer screening (low-dose CT for high-risk populations)
Incidental pulmonary nodule detection (from low-dose or standard-dose scans)
Analysis of oncological cases (both post-contrast and non-contrast CTs)
Monitoring of known malignancies (nodule size, progression, recurrence)
Routine scan analysis 
Prioritization of scans based on urgency or risk ",N/A,Initiated the regulatory approval process for FDA (Class II device),,https://rayscape.sharepoint.com/:b:/s/Rayscape/EY2IcCam8rlKh72hVejKn40BdZIOFN3Y7JSYH3xo1kOBnw?e=JCVyLU,I,IIa (The transition to MDR is expected to be completed by Q4 2025),"Detects pulmonary nodules ranging from 3 to 30 mm in size
Displays nodule location using bounding boxes or segmentation masks
Provides 3D measurements, including volume and diameter
Identifies nodule location by CT slice and lung lobe
Assigns a comprehensive set of attributes describing nodule characteristics
Calculates growth metrics, including growth percentage and Volume Doubling Time (VDT)
Supports longitudinal comparisons across multiple time points
Generates standardized outputs following Lung-RADS, Fleischner Society guidelines, RECIST, and Brock model",None,,None ,"The software is compatible with any PACS system that supports DICOM communication. Deeper, native integrations are available with OpenRad (Biotronics).","Blackford, Deepc, Carpl",We support SR and HL7 outputs for all platforms that are compatible with these standards. Deeper integrations are already established with OpenRad (Biotronics) and NeoQ.,dc993eb4-bd0b-4ae2-82d3-90161d96148e
Briefcase Triage ICH,AIDOC,CT,Neuro,Triage and Notification,,,,"Accuracy
https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12101/121010E/Re-defining-radiology-quality-assurance-QA--artificial-intelligence-AI/10.1117/12.2622234.short
https://program.eventact.com/lecture?id=183035&code=2504404
https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10949/109493J/The-utility-of-deep-learning--evaluation-of-a-convolutional/10.1117/12.2513167.short?SSO=1
https://www.longdom.org/open-access/prescreening-for-intracranial-hemorrhage-on-ct-head-scans-with-an-aibased-radiology-workflow-triage-tool-an-accuracy-study-44351.html
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0260560
https://pubmed.ncbi.nlm.nih.gov/34201775/

aiOS
https://doi.org/10.1117/12.2654552

Discrepancy
https://www.academicradiology.org/article/S1076-6332(20)30084-2/fulltext
https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12101/121010E/Re-defining-radiology-quality-assurance-QA--artificial-intelligence-AI/10.1117/12.2622234.short

Prioritization
https://pubs.rsna.org/doi/10.1148/ryai.2020200024

Quality Improvement
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0260560
https://www.ahajournals.org/doi/10.1161/str.51.suppl_1.WP63
https://www.academicradiology.org/article/S1076-6332(20)30084-2/abstract

Review
https://pubmed.ncbi.nlm.nih.gov/33010212/
https://doi.org/10.1016/j.jacr.2021.09.008

Turnaround time reduction
https://archive.rsna.org/2019/19005802.html
https://pubs.rsna.org/doi/10.1148/ryai.2020200024
https://pubmed.ncbi.nlm.nih.gov/34201775/

 Length of stay reduction
https://pmc.ncbi.nlm.nih.gov/articles/PMC9411003/
https://www.sciencedirect.com/science/article/abs/pii/S0363018820302085?via%3Dihub
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9411003/
https://www.sciencedirect.com/science/article/abs/pii/S0363018820302085?via%3Dihub",,IIa,"? Prioritization alert for BriefCase-Triage suspected positive cases.
? A preview image containing a compressed, low-quality, key slice of the original
DICOM image, captioned ��not for diagnostic use, for prioritization only��. The key
slice is the slice with the largest area of the suspected finding.
? Algorithm processing logs.","Intended Use:
""BriefCase-Triage is a radiological computer aided triage and notification software indicated for use in the analysis of non-enhanced head CT images in adults or transitional adolescents aged 18 and older. The device is intended to assist hospital networks and appropriately trained medical specialists in workflow triage by flagging and communication of suspected positive findings of Intracranial Haemorrhage (ICH) pathologies.
BriefCase-Triage uses an artificial intelligence algorithm to analyze images and highlight cases with detected findings on a standalone desktop application in parallel to the ongoing standard of care image interpretation. The user is presented with notifications for cases with suspect findings. Notifications include compressed preview images that are meant for informational purposes only and not intended for diagnostic use beyond notification. The device does not alter the original medical image and is not intended to be used as a diagnostic device.
The results of BriefCase-Triage are intended to be used in conjunction with other patient information and based on their professional judgment, to assist with triage/prioritization of medical images. Notified clinicians are responsible for viewing full images per the standard of care.""
Intended Users:
""The BriefCase-Triage is intended to be used by appropriately trained medical specialists.
Appropriately trained medical specialists for ICH are Emergency physicians, radiologists, neurologists, neuro-surgeons, neuro-interventionalists, interventional radiologists, neuro intensive care physicians.""
BriefCase-Triage is a radiological computer aided triage and notification software indicated for use in the
analysis of non-enhanced head CT images in adults or transitional adolescents aged 18 and older. The
device is intended to assist hospital networks and appropriately trained medical specialists in workflow
triage by flagging and communication of suspected positive findings of Intracranial Haemorrhage (ICH)
pathologies.
BriefCase-Triage uses an artificial intelligence algorithm to analyze images and highlight cases with
detected findings on a standalone desktop application in parallel to the ongoing standard of care image
interpretation. The user is presented with notifications for cases with suspect findings. Notifications
include compressed preview images that are meant for informational purposes only and not intended
for diagnostic use beyond notification. The device does not alter the original medical image and is not
intended to be used as a diagnostic device.
The results of BriefCase-Triage are intended to be used in conjunction with other patient information
and based on their professional judgment, to assist with triage/prioritization of medical images. Notified
clinicians are responsible for viewing full images per the standard of care.
Intended Users
The BriefCase-Triage is intended to be used by appropriately trained medical specialists.
Appropriately trained medical specialists for ICH are Emergency physicians, radiologists, neurologists,
neuro-surgeons, neuro-interventionalists, interventional radiologists, neuro intensive care physicians.",Explorer + Expert + Professional,IIa,All,Aidoc aiOS,All,380d512a-7967-4dd7-bed0-2679a1c13f04
Briefcase Triage PE,AIDOC,CT,Cardiovascular,Triage and Notification,,,,"https://journals.lww.com/thoracicimaging/Citation/2020/11000/Society_of_Thoracic_Radiology_Abstracts_from_the.14.aspx

https://www.clinicalimaging.org/article/S0899-7071(22)00074-2/abstract

https://insightsimaging.springeropen.com/articles/10.1186/s13244-023-01454-1

https://link.springer.com/article/10.1007/s00330-022-08645-2

https://link.springer.com/epdf/10.1007/s00330-020-06998-0?sharing_token=ImVdm15FgqnxD-rmF_nSUfe4RwlQNchNByi7wbcMAY6iNt_QDQnu3cQWSQYUELQq0ehDVzSGeLrqmFDHtNBzAmPGYC2kJMp1EoVF8o9nj8y5xb0ZFVqVBBpHcUsIrXl-XfQuotcRNT-nm-tGFHYlEyEV585mKkAr7nCQn3dOjvs%3D

Accuracy
https://www.clinicalimaging.org/article/S0899-7071(22)00074-2/fulltext
https://insightsimaging.springeropen.com/articles/10.1186/s13244-023-01454-1
https://www.ajronline.org/doi/epdf/10.2214/AJR.22.28949
https://link.springer.com/content/pdf/10.1007/s00330-022-08645-2.pdf
https://link.springer.com/epdf/10.1007/s00330-020-06998-0?sharing_token=ImVdm15FgqnxD-rmF_nSUfe4RwlQNchNByi7wbcMAY6iNt_QDQnu3cQWSQYUELQq0ehDVzSGeLrqmFDHtNBzAmPGYC2kJMp1EoVF8o9nj8y5xb0ZFVqVBBpHcUsIrXl-XfQuotcRNT-nm-tGFHYlEyEV585mKkAr7nCQn3dOjvs%3D

aiOS
https://doi.org/10.1117/12.2654552

Length of Stay
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9411003/

Review
https://pubmed.ncbi.nlm.nih.gov/33010212/",,IIa,"? Prioritization alert for BriefCase-Triage suspected positive cases.
? A preview image containing a compressed, low-quality, key slice of the original
DICOM image, captioned ��not for diagnostic use, for prioritization only��. The key
slice is the slice with the largest area of the suspected finding.
? Algorithm processing logs.","Intended Use:
""BriefCase-Triage is a radiological computer aided triage and notification software indicated for use in the analysis of CTPA images, in adults or transitional adolescents aged 18 and older. The device is intended to assist hospital networks and appropriately trained medical specialists in workflow triage by flagging and communicating suspected positive cases of Pulmonary Embolism (PE) pathologies.
BriefCase-Triage uses an artificial intelligence algorithm to analyze images and highlight cases with detected findings in parallel to the ongoing standard of care image interpretation. The user is presented with notifications for cases with suspected PE findings. Notifications include compressed preview images that are meant for informational purposes only and not intended for diagnostic use beyond notification. The device does not alter the original medical image and is not intended to be used as a diagnostic device.
The results of BriefCase-Triage are intended to be used in conjunction with other patient information and based on their professional judgment, to assist with triage/prioritization of medical images. Notified clinicians are responsible for viewing full images per the standard of care.""
Intended Users:
""The BriefCase-Triage is intended to be used by appropriately trained medical specialists.
Appropriately trained medical specialists for PE are Emergency physicians, pulmonologists, cardiologists, interventional radiologists, neurologists, vascular surgeons, hematologists, critical care physicians, internal medicine care physicians.""",Explorer + Expert + Professional,IIa,All,Aidoc aiOS,All,c5477563-34e1-4492-b376-2a7b6b6feda9
Briefcase Triage iPE,AIDOC,CT,Cardiovascular,Triage and Notification,,,,"https://pubmed.ncbi.nlm.nih.gov/36002759/

https://link.springer.com/article/10.1007/s00330-023-10029-z

https://linkinghub.elsevier.com/retrieve/pii/S004938482300049X

https://pubs.rsna.org/doi/10.1148/ryai.220286

https://pubs.rsna.org/doi/10.1148/ryai.220286

https://pubmed.ncbi.nlm.nih.gov/38899845/


Accuracy
https://pubmed.ncbi.nlm.nih.gov/36002759/
https://link.springer.com/article/10.1007/s00330-023-10029-z
https://pubs.rsna.org/doi/epdf/10.1148/ryct.220163
https://doi.org/10.1117/12.2654552

aiOS
https://doi.org/10.1016/j.thromres.2023.02.010

Discrepancy
https://pubs.rsna.org/doi/10.1148/ryai.220286

Prioritization
https://pubs.rsna.org/doi/10.1148/ryai.220286
https://pubmed.ncbi.nlm.nih.gov/38899845/",,IIa,"? Prioritization alert for BriefCase-Triage suspected positive cases.
? A preview image containing a compressed, low-quality, key slice of the original
DICOM image, captioned ��not for diagnostic use, for prioritization only��. The key
slice is the slice with the largest area of the suspected finding.
? Algorithm processing logs.","Intended Use:
""BriefCase-Triage is a radiological computer aided triage and notification software indicated for use in the analysis of contrast-enhanced chest CTs (not dedicated CTPA protocol) in adults or transitional adolescents aged 18 and older. The device is intended to assist hospital networks and appropriately trained medical specialists in workflow triage by flagging and communication of suspect positive cases of Incidental Pulmonary Embolism (iPE) pathologies. The device is intended to be used on single-energy exams only.
BriefCase-Triage uses an artificial intelligence algorithm to analyze images and flag suspect cases on a standalone desktop application in parallel to the ongoing standard of care image interpretation. The user is presented with notifications for suspect cases. Notifications include compressed preview images that are meant for informational purposes only and not intended for diagnostic use beyond notification. The device does not alter the original medical image and is not intended to be used as a diagnostic device.
The results of BriefCase-Triage are intended to be used in conjunction with other patient information and based on the user's professional judgment, to assist with triage/prioritization of medical images. Notified clinicians are responsible for viewing full images per the standard of care.""
Intended Users:
""The BriefCase-Triage is intended to be used by appropriately trained medical specialists.
Appropriately trained medical specialists for iPE are emergency physicians, radiologists, pulmonologists, cardiologists, interventional radiologists, vascular surgeons, hematologists, critical care physicians, oncologists, internal medicine physicians.""",Explorer + Expert + Professional,IIa,All,Aidoc aiOS,All,8213feed-c377-4c2a-942f-278562b233f7
Briefcase Triage CSF,AIDOC,CT,"MSK, Trauma, Neuro",Triage and Notification,,,,https://www.ejradiology.com/article/S0720-048X(24)00091-3/fulltext,,IIa,"? Prioritization alert for BriefCase-Triage suspected positive cases.
? A preview image containing a compressed, low-quality, key slice of the original
DICOM image, captioned ��not for diagnostic use, for prioritization only��. The key
slice is the slice with the largest area of the suspected finding.
? Algorithm processing logs.","Intended Use:
""BriefCase-Triage is a radiological computer aided triage and notification software indicated for use in the analysis of CT scans that include the cervical spine, in adults or transitional adolescents aged 18 and older. The device is intended to assist hospital networks and appropriately trained medical specialists in workflow triage by flagging and communication of linear lucencies in the cervical spine bone in patterns compatible with fractures.
BriefCase-Triage uses an artificial intelligence algorithm to analyze images and highlight cases with detected findings in parallel to the ongoing standard of care image interpretation. The user is presented with notifications for cases with suspected findings. Notifications include compressed preview images that are meant for informational purposes only and not intended for diagnostic use beyond notification. The device does not alter the original medical image and is not intended to be used as a diagnostic device.
The results of BriefCase-Triage are intended to be used in conjunction with other patient information and based on their professional judgment, to assist with triage/prioritization of medical images. Notified clinicians are responsible for viewing full images per the standard of care.""
Intended Users:
""The BriefCase-Triage is intended to be used by appropriately trained medical specialists.
Appropriately trained medical specialists for CSF are Emergency physicians, radiologists, neuro-surgeons, neurologists, orthopedists.""",Explorer + Expert + Professional,IIa,All,Aidoc aiOS,All,b922f4e4-a595-4e62-9533-6c87b0e2959d
