AI_Product_name,AI_Company_name,Sub_specialty,Imaging_Modality,Intended_Purpose,Summary_passage_of_Clinical_use,Summary_passage_of_Product_output,CE_Classification,FDA_Classification,Manufacturer
Aplio i900 Model TUS-AI900,Philips Healthcare,Cardiology,Ultrasound,Diagnosis of cardiac and vascular diseases,The Aplio i900 Model TUS-AI900 is a high-resolution ultrasound system designed for the diagnosis of various cardiac and vascular conditions.,"The device provides detailed images of the heart and blood vessels, allowing for accurate diagnoses and treatment planning.",Class B,Class II,Philips Healthcare
Constellation,"Q Bio, Inc.",Automated Radiological Image Processing Software,Magnetic Resonance Imaging (MRI),Non-invasive labeling and calculation of quantitative measurements for anatomical regions,Constellation is intended for non-invasive labeling and calculation of quantitative measurements for anatomical regions. It utilizes DICOM MR images gathered on a GE MR450W that encompasses the whole-body.,Constellation outputs PDF reports containing quantified measurements alongside whole-body visualization and segmented label images.,Class II,21 CFR 892.2050,"CorticoMetrics LLC, AMRA Medical AB"
CINA-CSpine,AlIDoc Medical Ltd.,Radiological Imaging,Non-contrast Cervical Spine CT,Assist in prioritization and triage of radiological images for cervical spine fracture detection,The subject device is substantially equivalent to the predicate BriefCase device.,"CINA-CSpine and BriefCase have similar intended use and substantially similar indications, technological characteristics, and principles of operation.",I,I,AlIDoc Medical Ltd.
FETOLY-HEART,Sonio Detect,Cardiac Imaging,"Cardiac Clip Frame, Full Exam Age",Diagnosis and Monitoring of Cardiac Conditions,FETOLY-HEART is designed to provide high-quality cardiac imaging for diagnosis and monitoring of various cardiac conditions.,"The device provides accurate and reliable diagnostic images, enabling healthcare professionals to make informed decisions about patient care.",I,I,Sonio Detect
LumiNE US,Augmedit,Tumor Segmentation,MRI,Diagnosing and treating brain tumors,"The LumiNE US software is used to segment MRI scans of the brain, identifying tumors with a minimal volume of 2.0 cc (0.1 in?) and a minimal diameter in any direction of 15 mm (0.6 inch), and a maximum volume of 100cc (6.1 in3) and a maximal diameter in any direction of 75 mm (3.0 inch).","The LumiNE US software provides high-quality segmentation results, meeting the requirements of international and US standards for safety and performance.",I,P,Augmedit
"See-Mode Augmented Reporting Tool, Thyroid",See-Mode Technologies,Thyroid Imaging,Ultrasound,Automated Thyroid Nodule Characterization and Reporting,"The See-Mode Augmented Reporting Tool, Thyroid (SMART-T) is designed to aid radiologists in the accurate characterization of thyroid nodules using advanced AI algorithms.","The SMART-T system provides a comprehensive solution for automated thyroid nodule characterization and reporting, enabling clinicians to make informed decisions about patient management.",I,3A,See-Mode Technologies
Overjet Image Enhancement Assist,"Overjet, Inc",Automated Radiological Image Processing System,Dental radiographs,Image quality enhancement in dental radiographs viewed in the Overjet device platform,"Overjet Image Enhancement Assist is an image processing software that can be used for image enhancement in dental radiographs viewed in the Overjet device platform. It improves image quality by reducing noise with a learning-based algorithm for bitewing and periapical images, and by improving contrast and sharpness using standard, non-learning based techniques.","The software enhances image quality by utilizing a learning-based algorithm for noise reduction in bitewing and periapical images, and by applying standard, non-learning based techniques to enhance contrast and sharpness for bitewing, periapical, and panoramic images. Raw images will be acquired and reviewed using the dental clinics standard imaging acquisition and viewing software.",Classified as Class II (Level II) medical device,Class I (Level I) medical device,"Overjet, Inc"
ADAS3D,ADAS3D Medical,Cardiovascular Imaging,Computed Tomography Angiography (CTA),Automated Detection of Left Atrial Wall Thickness,The ADAS3D system is designed to detect left atrial wall thickness using computed tomography angiography.,"The ADAS3D system provides a preliminary initialization of the target structure, which can be refined by the user for further refinement.",I,PMA (Premarket Approval),ADAS3D Medical
uAI Portal,United Imaging,Medical Imaging Software,Digital X-ray,Image Analysis and Processing for Medical Diagnostics,"The uAI Portal is designed to assist medical professionals in analyzing and processing medical images, enabling them to make more accurate diagnoses and treatments.","The uAI Portal provides a user-friendly interface for image analysis, allowing users to select specific areas of interest, apply various algorithms, and generate detailed reports. The software also includes features such as data visualization, annotation tools, and collaboration capabilities.",Class B,Class II,United Imaging
TRAGQInform IQ,Medical Imaging Technology Inc.,Quantitative Analysis of Regions of Interest (ROIs),PET/CT,Automated quantitative analysis and registration of ROIs in PET/CT scans for clinical use,"TRAGQInform IQ is used to analyze and register ROIs in PET/CT scans, allowing for the assessment of changes and differences in ROI volumes and tracer uptake.","The software provides quantitative analysis of ROIs, including change in volume and heterogeneity of change, as well as total tracer uptake and radio density. It also generates 2D and 3D graphical renderings of medical images with labeled contours for ROI, anatomic structures, and skeletal structures.",I,I,Medical Imaging Technology Inc.
